# i  j  avgZ
0 0 82.62999725341797
0 1 54.59999974568685
0 2 69.42333221435547
0 3 60.6899995803833
0 4 51.253334045410156
0 5 39.369998931884766
0 6 41.209999084472656
0 7 86.88999938964844
0 8 40.58000183105469
0 9 NaN
1 0 54.423333485921226
1 1 61.96500205993652
1 2 61.54999923706055
1 3 61.694997787475586
1 4 81.90999984741211
1 5 56.104000091552734
1 6 64.58500099182129
1 7 64.49999809265137
1 8 83.84499740600586
1 9 85.6500015258789
2 0 61.35249996185303
2 1 60.19500160217285
2 2 83.93333180745442
2 3 60.6324987411499
2 4 51.140000661214195
2 5 53.97333272298177
2 6 62.6299991607666
2 7 70.17333221435547
2 8 54.82666778564453
2 9 61.2599983215332
3 0 85.20999908447266
3 1 59.720001220703125
3 2 59.88749980926514
3 3 36.755001068115234
3 4 65.22333399454753
3 5 59.21333440144857
3 6 62.77499961853027
3 7 62.43000030517578
3 8 63.53499984741211
3 9 NaN
4 0 54.186665852864586
4 1 61.334999084472656
4 2 69.5999984741211
4 3 82.05999755859375
4 4 78.62000274658203
4 5 61.65000025431315
4 6 44.56999969482422
4 7 65.53250122070312
4 8 57.57333246866862
4 9 NaN
5 0 70.61333338419597
5 1 63.84499931335449
5 2 64.59399948120117
5 3 68.43999989827473
5 4 80.2300033569336
5 5 52.31999969482422
5 6 64.46500015258789
5 7 57.416666666666664
5 8 56.95000076293945
5 9 40.849998474121094
6 0 64.36000061035156
6 1 65.30499839782715
6 2 62.415000915527344
6 3 61.010000228881836
6 4 77.05999755859375
6 5 53.135000228881836
6 6 65.67249965667725
6 7 63.885000228881836
6 8 65.00750064849854
6 9 NaN
7 0 54.93000030517578
7 1 63.08500099182129
7 2 61.52000045776367
7 3 82.62000274658203
7 4 56.13999938964844
7 5 62.75
7 6 64.03000068664551
7 7 62.244998931884766
7 8 65.08500099182129
7 9 88.91000366210938
8 0 56.87333297729492
8 1 62.82500076293945
8 2 56.67999954223633
8 3 80.56999969482422
8 4 59.22500228881836
8 5 66.82999928792317
8 6 70.95666631062825
8 7 42.59499931335449
8 8 70.66333389282227
8 9 NaN
9 0 63.82499885559082
9 1 63.85500144958496
9 2 NaN
9 3 60.739999771118164
9 4 41.04999923706055
9 5 84.62000274658203
9 6 NaN
9 7 60.05999946594238
9 8 71.74000040690105
9 9 NaN
